GERARD PHILIPE,1,245,94011
MEGA CGR LE FRANCAIS 1,12,1900,33063
UGC CINE CITE 1,18,2648,33063
MEGARAMA 1,17,2878,33063
UTOPIA 1,5,553,33063
LE 7EME ART 1,2,358,19028
BEAULIEU,1,338,44020
CINE LUMIERE 1,1,221,31080
STARS 1,7,944,62160
CINEMA LANDOWSKI,1,154,92012
PATHE 1,7,1492,92012
MAJESTIC,1,330,66024
RIO BORVO,1,152,71047
CASINO,1,124,3036
CASINO DE BOURBONNE,1,148,52060
ROXY,1,192,63047
LE REGENT,1,410,23030
LE FOYER,1,213,42023
EMILIEN JOLY,1,177,38052
SALLE POLYVALENTE,1,0,38052
 LA GRENETTE 1,4,784,1053
LE CINEMA,1,110,18033
MEGA CGR 1,12,2620,18033
LE CINEMA,1,83,93013
AUDITORIUM DU CONSERVATOIRE,1,177,92014
TRIANON,1,318,53039
ROYAL 3,3,636,38053
MEGAROYAL 1,9,1616,38053
SAVOY,1,250,73054
CINEARC 3,2,360,73054
FAMILIA,1,224,37031
ABBAYE,1,380,37031
FOYER,1,356,59098
BUXY 1,5,797,91097
FA MI LA,1,195,59107
LE RENAISSANCE,1,105,77051
LA BOBINE,1,206,35037
JEANNE D ARC,1,217,88075
SAVOY 1,2,323,79049
CELTIC 1,8,1727,29019
CINE LIBERTE 1,15,2805,29019
OCEANOPOLIS,1,267,29019
LES STUDIOS 1,6,715,29019
LE FIEF,1,290,85035
JEAN COCTEAU,2,370,91103
NORMANDY,1,190,14100
EDEN STUDIO,1,98,5023
CINE VAUBAN,1,240,5023
DONJON,1,203,50082
DORON,2,358,73057
LES 4 VENTS,1,168,77053
LA BOITE A IMAGES 1,2,253,83023
PARIS 1,2,427,43040
MEGA CGR 1,9,1504,19031
REX 1,3,575,19031
SANDRINE BONNAIRE,2,345,69029
ETOILES 1 (EX-ARCADES 1),4,497,62178
MEGA CGR 1,12,2560,62178
PATHE 1,12,2829,67067
LE GRAND LOGIS,1,419,35047
REGAIN,1,174,26063
LUX LOUIS DELLUC,1,202,24068
MEGA CGR 1,12,2219,86041
CENTRE CULTUREL,1,210,36031
CENTRE CULTUREL,1,248,66028
LE NORMANDIE 1,2,238,14117
CASINO,1,138,14117
TOURNEE,1,150,46040
SALLE MISTRAL,1,0,6026
LA PLEIADE,3,802,94016
LUX,1,196,33081
PATHE LUMIERE 1,7,1468,14118
SALLE PIERRE DAURE,1,768,14118
CINEMA LUX 2,3,477,14118
ESPACE CENTRE,1,336,6027
LE QUERCY,1,360,46042
A B C I,3,441,46042
L'ALHAMBRA 1,4,498,62193
ARGOAT,1,148,22025
SALLE MELIES,1,267,69034
CINE CALUIRE,1,270,69034
LE TEMPLE,1,172,12044
SALLE POLYVALENTE,1,0,84029
ROCAMADOUR,1,200,29022
L'AIGLON,1,110,64160
LE PALACE 1,5,605,59122
VICTORIA,1,500,44025
DUGUESCLIN,1,228,35049
CENTRE SIMONE SIGNORET,1,383,33090
OLYMPIA 1,4,835,6029
ARCADES 1,3,453,6029
STAR 1,4,702,6029
STUDIO 13,2,298,6029
SALLE RAIMU,1,164,6029
OLYMPIA 5,5,502,6029
PROSPER MERIMEE,1,432,6029
MIRAMAR,1,370,6029
ALEXANDRE 3,1,196,6029
CANNET TOILES,1,90,6030
ESPACE CULTUREL FRANCOIS MIT,1,170,76157
RIO CINEMA,1,166,40065
ATMOSPHERE,1,263,12052
CENTRE AUDIOVISUEL,1,195,33095
CASINO,1,99,65127
ETOILE,1,158,29023
FAVOLS,1,196,33096
CINE CARBONNE,1,206,31107
CENTRE CULTUREL DE L'ESTRAN,1,248,33097
CAP CINEMA LE COLISEE 1,4,470,11069
